id,nome,email,telefone,ativo,data_criacao,data_atualizacao
00000000-0000-0000-0000-000000000001,Daniela Santos,user00001@example.com,telefone_3698177728,true,2024-06-28T12:00:00,2024-08-29T12:00:00
00000000-0000-0000-0000-000000000002,Eduardo Ribeiro,user00002@example.com,telefone_3501898041,true,2024-08-13T12:00:00,2024-10-23T12:00:00
00000000-0000-0000-0000-000000000003,Fernanda Costa,user00003@example.com,telefone_551703268,true,2024-02-17T12:00:00,2024-02-27T12:00:00
00000000-0000-0000-0000-000000000004,Daniela Almeida,user00004@example.com,telefone_1438205540,true,2024-02-12T12:00:00,2024-12-04T12:00:00
00000000-0000-0000-0000-000000000005,Eduardo Almeida,user00005@example.com,telefone_1169801818,true,2024-04-01T12:00:00,2024-08-23T12:00:00
00000000-0000-0000-0000-000000000006,Gustavo Oliveira,user00006@example.com,telefone_1450823239,true,2024-07-24T12:00:00,2024-10-27T12:00:00
00000000-0000-0000-0000-000000000007,Gustavo Ribeiro,user00007@example.com,telefone_3299362432,true,2024-06-12T12:00:00,2024-10-22T12:00:00
00000000-0000-0000-0000-000000000008,Eduardo Silva,user00008@example.com,,true,2024-05-16T12:00:00,2024-06-12T12:00:00
00000000-0000-0000-0000-000000000009,Ana Almeida,user00009@example.com,telefone_3669447292,true,2024-07-20T12:00:00,2024-09-02T12:00:00
00000000-0000-0000-0000-00000000000a,Daniela Costa,user00010@example.com,telefone_46287779,true,2024-01-09T12:00:00,2024-09-22T12:00:00
00000000-0000-0000-0000-00000000000b,Ana Santos,user00011@example.com,telefone_2974142530,true,2024-06-29T12:00:00,2024-11-21T12:00:00
00000000-0000-0000-0000-00000000000c,Bruno Almeida,user00012@example.com,telefone_964653732,true,2024-08-15T12:00:00,2024-12-17T12:00:00
00000000-0000-0000-0000-00000000000d,Eduardo Souza,user00013@example.com,telefone_50486771,true,2024-07-09T12:00:00,2024-08-31T12:00:00
00000000-0000-0000-0000-00000000000e,Eduardo Santos,user00014@example.com,,true,2024-07-12T12:00:00,2024-12-20T12:00:00
00000000-0000-0000-0000-00000000000f,Ana Lima,user00015@example.com,,true,2024-06-13T12:00:00,2024-09-07T12:00:00
00000000-0000-0000-0000-000000000010,Fernanda Santos,user00016@example.com,telefone_2219369796,true,2024-05-03T12:00:00,2024-09-09T12:00:00
00000000-0000-0000-0000-000000000011,Bruno Ribeiro,user00017@example.com,telefone_2511751466,true,2024-03-29T12:00:00,2024-07-29T12:00:00
00000000-0000-0000-0000-000000000012,Bruno Lima,user00018@example.com,telefone_2633232208,true,2024-06-09T12:00:00,2024-07-28T12:00:00
00000000-0000-0000-0000-000000000013,Ana Costa,user00019@example.com,telefone_1878697248,true,2024-09-11T12:00:00,2024-11-22T12:00:00
00000000-0000-0000-0000-000000000014,Ana Lima,user00020@example.com,telefone_1695328901,true,2024-03-03T12:00:00,2024-04-05T12:00:00
00000000-0000-0000-0000-000000000015,Helena Santos,user00021@example.com,telefone_1069162206,true,2024-03-19T12:00:00,2024-10-28T12:00:00
00000000-0000-0000-0000-000000000016,Ana Lima,user00022@example.com,telefone_435048429,true,2024-08-08T12:00:00,2024-12-12T12:00:00
00000000-0000-0000-0000-000000000017,Carlos Ribeiro,user00023@example.com,telefone_1087040819,true,2024-03-05T12:00:00,2024-12-10T12:00:00
00000000-0000-0000-0000-000000000018,Gustavo Santos,user00024@example.com,telefone_2388569126,true,2024-05-22T12:00:00,2024-11-19T12:00:00
00000000-0000-0000-0000-000000000019,Gustavo Costa,user00025@example.com,telefone_892399552,true,2024-07-12T12:00:00,2024-08-03T12:00:00
00000000-0000-0000-0000-00000000001a,Fernanda Santos,user00026@example.com,telefone_2572332990,true,2024-07-30T12:00:00,2024-11-04T12:00:00
00000000-0000-0000-0000-00000000001b,Carlos Almeida,user00027@example.com,telefone_2697431000,true,2024-03-10T12:00:00,2024-08-11T12:00:00
00000000-0000-0000-0000-00000000001c,Carlos Ribeiro,user00028@example.com,telefone_1923969878,true,2024-06-20T12:00:00,2024-11-21T12:00:00
00000000-0000-0000-0000-00000000001d,Fernanda Ribeiro,user00029@example.com,telefone_2762259630,true,2024-04-03T12:00:00,2024-04-11T12:00:00
00000000-0000-0000-0000-00000000001e,Fernanda Ribeiro,user00030@example.com,telefone_3325770118,true,2024-06-13T12:00:00,2024-10-10T12:00:00
00000000-0000-0000-0000-00000000001f,Helena Almeida,user00031@example.com,telefone_3034744878,true,2024-03-04T12:00:00,2024-08-26T12:00:00
00000000-0000-0000-0000-000000000020,Carlos Almeida,user00032@example.com,telefone_1890536671,true,2024-10-02T12:00:00,2024-12-18T12:00:00
00000000-0000-0000-0000-000000000021,Eduardo Oliveira,user00033@example.com,telefone_1535498866,true,2024-05-20T12:00:00,2024-06-04T12:00:00
00000000-0000-0000-0000-000000000022,Gustavo Silva,user00034@example.com,,true,2024-01-17T12:00:00,2024-03-10T12:00:00
00000000-0000-0000-0000-000000000023,Gustavo Ribeiro,user00035@example.com,telefone_3945274234,true,2024-09-06T12:00:00,2024-12-08T12:00:00
00000000-0000-0000-0000-000000000024,Bruno Oliveira,user00036@example.com,,true,2024-01-20T12:00:00,2024-06-11T12:00:00
00000000-0000-0000-0000-000000000025,Daniela Almeida,user00037@example.com,telefone_3290148463,true,2024-01-30T12:00:00,2024-03-04T12:00:00
00000000-0000-0000-0000-000000000026,Ana Oliveira,user00038@example.com,telefone_3569427557,true,2024-02-08T12:00:00,2024-08-12T12:00:00
00000000-0000-0000-0000-000000000027,Bruno Lima,user00039@example.com,telefone_3437905269,true,2024-05-01T12:00:00,2024-11-29T12:00:00
00000000-0000-0000-0000-000000000028,Bruno Souza,user00040@example.com,telefone_1058962163,true,2024-01-10T12:00:00,2024-07-15T12:00:00
00000000-0000-0000-0000-000000000029,Carlos Costa,user00041@example.com,telefone_2229846691,true,2024-06-22T12:00:00,2024-08-14T12:00:00
00000000-0000-0000-0000-00000000002a,Gustavo Santos,user00042@example.com,telefone_3998201171,true,2024-03-16T12:00:00,2024-10-29T12:00:00
00000000-0000-0000-0000-00000000002b,Bruno Santos,user00043@example.com,telefone_888305904,true,2024-03-02T12:00:00,2024-03-07T12:00:00
00000000-0000-0000-0000-00000000002c,Gustavo Souza,user00044@example.com,telefone_1399671651,true,2024-01-02T12:00:00,2024-06-26T12:00:00
00000000-0000-0000-0000-00000000002d,Daniela Oliveira,user00045@example.com,telefone_3673394742,true,2024-09-29T12:00:00,2024-10-05T12:00:00
